,Brewery,Beer Name,Style,ABV,IBU,SRM
3239,Eudora Brewing Company,Mother Fuggle™,American-Style Brown Ale,5.5,27.0,22
3240,Ingeniero Microbrewery,Mother Hopper,Imperial or Double India Pale Ale,8.5,100.0,16
3241,Magic Hat Brewing Company,Mother Lager,American-Style Lager,5.0,17.0,30
3242,Keegan Ales,Mother's Milk,Sweet or Cream Stout,5.0,19.0,40
3243,Legal Remedy Brewing Co.,Motion to Strike Milk Stout,Sweet or Cream Stout,6.04,22.0,41
3244,OysterHouse Brewing Company,Motown DIPA,Imperial or Double India Pale Ale,8.4,74.0,15
3245,Stoup Brewing,Motueka Dry-hopped Strong Sour,American-Style Sour Ale,6.0,4.0,5
3246,Karl Strauss Brewing Company,Mouette à Trois,Specialty Beer,8.5,10.0,35
3247,Valiant Brewing,Mounds of Grounds,Specialty Beer,9.6,27.0,40
3248,The Shed Brewery,Mountain Ale,English-Style Brown Ale,7.4,35.0,25
3249,Crazy Mountain Brewing,Mountain Livin' Pale Ale,American-Style Pale Ale,5.7,40.0,9
3250,Lone Tree Brewing Company,Mountain Mama Helles,Münchner (Munich)-Style Helles,5.3,25.0,4
3251,Mystery Brewing Company,Mousqueton: Belgian-Style Tripel,Belgian-Style Tripel,7.1,18.0,8
3252,Two Blokes Brewing,Moustache Ryed Black IPA,American-Style Black Ale,7.3,70.0,35
3253,Pollyanna Brewing Company,Movembeer (2016),Oatmeal Stout,9.3,30.0,41
3254,Blank Slate Brewing Company,Movin’ On,American-Style Pale Ale,4.2,45.0,11
3255,Copper Canyon Brewing Co.,Mow Foe Black IPA,American-Style Black Ale,6.7,72.0,23
3256,Coalition Brewing Company,Mr Pigs Pale Ale,American-Style Pale Ale,5.0,54.0,6
3257,Blind Tiger Brewery & Restaurant,Mr.  Blue Sky,American-Style Lager,4.1,11.0,2
3258,West Flanders Brewing Co.,Mr. Chain Blue Lightnin',Imperial or Double India Pale Ale,8.7,102.0,10
3259,Worth Brewing Company,Mr. Chesterfield's Warmer,Herb and Spice Beer,6.2,23.0,8
3260,7th Settlement Brewery,Mr. Nice Guy,Imperial or Double India Pale Ale,9.4,98.0,6
3261,White Bluffs Brewing,Mr. Robusto,Robust Porter,6.6,45.0,30
3262,Big Beach Brewing,Mr. Tallymon Hefeweizen,South German-Style Hefeweizen / Hefeweissbier,5.1,12.0,3
3263,JDub's Brewing Company,Mr. Weisse Guy,Berliner-Style Weisse (Wheat),3.0,5.0,2
3264,Alosta Brewing Co.,Mrs. Adams Oatmeal Stout,Oatmeal Stout,6.5,43.0,41
3265,Tioga-Sequioa Brewing Co,Mt. Whitney XPA,Session Beer,5.0,58.0,5
3266,Blue Skye Brewery and Eats,Mugler's Revenge IPA,American-Style India Pale Ale,6.5,67.0,13
3267,Moon Dog,Mummy Have a Bite,Fruit Beer,8.0,32.0,13
3268,Flat Earth Brewing Company,Mummy Train,Pumpkin Beer,5.2,30.0,13
3269,Hacker-Pschorr,Münchener Gold,Dortmunder / European-Style Export,5.5,23.0,5
3270,Werk Force Brewing Co.,Munchie,French & Belgian-Style Saison,5.5,16.6,4
3271,Iron Hill Brewery,Munich Dunkel,European-Style Dark / Münchner Dunkel,5.0,18.0,17
3272,Blue Stallion Brewing Company,Munich Dunkel,South German-Style Dunkel Weizen / Dunkel Weissbier,5.4,24.0,15
3273,Blue Stallion Brewing Company,Munich Helles,Münchner (Munich)-Style Helles,5.0,17.0,3
3274,Emmett's Brewing Company,Munich Light Lager,Münchner (Munich)-Style Helles,4.8,18.0,3
3275,Cigar City Brewing,Municipal Waste's Divine Blasphemer,Smoke Porter,6.6,29.0,38
3276,Bavarian Bierhaus,Murica,American-Style Light (Low Calorie) Lager,3.6,15.0,3
3277,Smartmouth Brewing Company,Murphy's Law,German-Style Altbier,5.7,29.0,18
3278,Carrollwood Brewing Company,Murphy's Law IPA,Imperial or Double India Pale Ale,8.2,76.0,12
3279,Moon Dog,Mustafa's Dancing Helmet,Herb and Spice Beer,9.0,60.0,6
3280,AleSmith Brewing Company,My Bloody Valentine,American-Style Amber/Red Ale,6.66,24.0,10
3281,Excel Brewing Company,My Hoppy Valentine,American-Style Amber/Red Ale,6.5,40.0,17
3282,Stoup Brewing,My Own Private IPA,American-Style India Pale Ale,7.5,65.0,6
3283,Lakefront Brewery,My Turn #7 - John,American-Style Dark Lager,5.8,20.0,41
3284,Carolina Bauernhaus Ales,Nachtlicht,American-Style Imperial Stout,10.2,52.0,41
3285,Mimbres Valley Brewing Company,Nacio Herb Brown Porter,Brown Porter,4.6,23.0,41
3286,New Helvetia Brewing Company,Naked Homeland Stout,Coffee-Flavored Beer,5.5,45.0,41
3287,Cortland Beer Company,Naked Lap Lager,American-Style Premium Lager,4.9,13.0,3
3288,Adelbert's Brewery,Naked Nun,Belgian-Style White (or Wit) / Belgian-Style Wheat,5.8,15.0,4
3289,Bench Creek Brewing,Naked Woodsman,American-Style Pale Ale,5.2,40.0,6
3290,Sierra Nevada Brewing Company,Narwhal,American-Style Imperial Stout,10.2,60.0,41
3291,Nashville Brewing Company,Nashville Festbier,German-Style Märzen,5.6,20.0,10
3292,Nashville Brewing Company,Nashville Lager,Münchner (Munich)-Style Helles,4.9,14.0,3
3293,Tennessee Brew Works,Nashweizen,South German-Style Hefeweizen / Hefeweissbier,5.75,60.0,4
3294,Tennessee Brew Works,Natchez,Herb and Spice Beer,5.9,36.0,18
3295,National Brewing Company,National Premium Beer,American-Style Pilsener,5.0,16.0,3
3296,NoDa Brewing Company,Natural Blond,Belgian-Style Blonde Ale,7.6,19.0,7
3297,Lexington Avenue Brewery,Nature's Kind,Pumpkin Beer,6.4,24.0,23
3298,Russell Brewing,Naughty & Spiced,Robust Porter,6.5,30.0,37
3299,NoDa Brewing Company,Naughty List,Specialty Beer,7.2,29.0,20
3300,Crystal Springs Brewing Co,Naughty Marilyn,Belgian-Style Tripel,8.2,29.0,3
3301,Sick N Twisted Brewing Co.,Naughty Redhead,Imperial Red Ale,8.0,43.1,13
3302,Navigation Brewing Company,Navigation Gose,Leipzig-Style Gose,4.65,13.0,4
3303,Bang Brewing,Neat,Experimental Beer (Lager or Ale),4.9,90.0,2
3304,Salt Creek Brewery,Needmore Ale,American-Style Cream Ale or Lager,5.2,13.2,3
3305,Ska Brewing Company,Nefarious Ten Pin,Robust Porter,8.0,60.0,36
3306,COOP Ale Works,Negative Split Belgian-Style Table Beer,Belgian-Style Blonde Ale,4.0,10.0,7
3307,Crazy Mountain Brewing,Neomexicanus Native Pale Ale,American-Style Pale Ale,6.0,46.0,5
3308,Reclamation Brewing Company,Nephilim,British-Style Barley Wine Ale,13.0,70.0,17
3309,Joyride Brewing Company,Never Mind the Baltics,Baltic-Style Porter,7.5,45.0,30
3310,Nevin's Draft Company,Nevin's Apocalyptinator Doppelbock,German-Style Doppelbock,8.0,19.0,22
3311,Midnight Brewery,New Beginning,German-Style Kölsch / Köln-Style Kölsch,5.6,22.0,4
3312,Sons of Liberty Aleworks,New England Common,California Common Beer,5.8,20.0,30
3313,Woodcreek Brewing Company,New Horizon Wheat,American-Style Pale Ale,6.5,14.0,7
3314,Laughing Sun Brewing Company,New Minglewood Wheat,Light American Wheat Ale or Lager without Yeast,5.2,25.0,3
3315,Wolf's Ridge Brewing,New Moon,American-Style India Pale Ale,7.2,80.0,41
3316,The Austin Beer Garden Brewing Company,New Style American Girlfriend,American-Style Lager,4.0,12.0,2
3317,Base Camp Brewing Company,New Wave Amber,American-Style Märzen / Oktoberfest,5.6,28.0,8
3318,Avery Brewing Company,New World Porter,Robust Porter,6.7,48.0,41
3319,Scottish & Newcastle Breweries,Newcastle Werewolf,Extra Special Bitter,4.5,23.0,20
3320,Coastal Extreme Brewing Company,Newport Storm Hurricane Amber Ale,American-Style Amber/Red Ale,5.2,23.0,16
3321,Rohrbach Brewing Company,Next Door Ale,American-Style Pale Ale,5.5,16.0,9
3322,Bang Brewing,Nice,American-Style Black Ale,6.5,65.0,33
3323,Rivertown Brewing Company,Nice Melons,Berliner-Style Weisse (Wheat),3.8,10.0,3
3324,BearWaters Brewing Company,Nick's Crick,Belgian-Style Dark Strong Ale,7.3,18.0,21
3325,Arcadian Moon,Nickel Draw,Irish-Style Red Ale,6.2,19.4,16
3326,Solarc Brewing,Night Capsicum,American-Style Black Ale,7.9,66.2,23
3327,The Tap Beer Company,Night Huntress,German-Style Schwarzbier,4.6,23.0,36
3328,CB Craft Brewers,Night Owl Cream Porter,Sweet or Cream Stout,5.0,20.0,30
3329,Elysian Brewing Company,Night Owl Pumpkin Ale,Pumpkin Beer,5.9,18.0,17
3330,Periodic Brewing,Night Run RIS,American-Style Imperial Stout,9.5,50.0,40
3331,Equinox Brewing Company,Night Ryder,European-Style Dark / Münchner Dunkel,5.5,24.0,19
3332,Goose Island Beer Company,Night Stalker,American-Style Imperial Stout,11.7,60.0,41
3333,Arbor Brewing Company,Night Stalker Pumpkin Cream Stout,Sweet or Cream Stout,6.0,29.0,13
3334,Lagunitas Brewing Company,Night Time,American-Style Black Ale,7.9,65.0,31
3335,O'so Brewing,Night Train,Robust Porter,7.2,49.0,41
3336,Great South Bay Brewery,Niko Weisse,Berliner-Style Weisse (Wheat),4.0,4.0,2
3337,Tröegs Brewing Company,Nimble Giant,Imperial or Double India Pale Ale,9.0,69.0,9
3338,Asheville Brewing Company,Ninja Porter,Brown Porter,5.25,26.2,26
3339,Pipeworks Brewing Company,Ninja Vs. Unicorn,Imperial or Double India Pale Ale,8.5,150.0,4
3340,Grist Brewing Company,Niobrara Stout,American-Style Stout,5.8,48.0,41
3341,Upslope Brewing Company,Nitro Blonde,Golden or Blonde Ale,8.0,20.0,1
3342,Old World Brewery,Nitro Blonde Ale,Golden or Blonde Ale,4.5,18.0,3
3343,Triton Brewing Company,Nitro Deadeye Stout,American-Style Stout,5.5,28.0,41
3344,Founders Brewing Company,Nitro Oatmeal Stout,Oatmeal Stout,4.5,38.0,41
3345,Founders Brewing Company,Nitro Pale Ale,American-Style Pale Ale,5.4,35.0,9
3346,Taxman Brewing Company,Nitro Qualified,Belgian-Style Quadrupel,9.5,28.0,25
3347,Ballast Point Brewing Company,Nitro Red Velvet Cake,Chocolate / Cocoa-Flavored Beer,5.5,33.0,11
3348,Rivertown Brewing Company,Nitro Roebling,Robust Porter,7.8,35.0,31
3349,Upland Brewing Company,Nitro Teddy Bear Kisses,American-Style Imperial Stout,10.2,80.0,41
3350,Werk Force Brewing Co.,No Cream ~ Anti-Cream Ale,American-Style Cream Ale or Lager,4.75,16.0,4
3351,Funky Buddha Brewery,No Crusts,American-Style Brown Ale,6.4,36.0,21
3352,Idle Vine Brewing Co.,No Hitter,Session Beer,4.0,17.0,3
3353,Waverly Brewing Co.,No Kings,American-Style Pale Ale,6.0,37.0,8
3354,Scenic Brewing Company,No Mans Land,American-Style India Pale Ale,8.4,65.0,40
3355,Glenwood Canyon BrewPub,No Name Nut Brown Ale,English-Style Brown Ale,5.89,16.0,20
3356,ZwanzigZ Pizza & Brewing,No Number Scotch Ale,Scotch Ale,9.0,24.0,15
3357,Loma Brewing Company,No Oranges Allowed,Light American Wheat Ale or Lager with Yeast,5.7,17.0,5
3358,The Unknown Brewing,No Shame,Light American Wheat Ale or Lager without Yeast,5.1,13.3,6
3359,Avery Brewing Company,No. 1 - Brabant Barrel-Aged Wild Ale,Wood- and Barrel-Aged Beer,8.7,25.0,41
3360,Wild Earth Brewing,Noble Fir,American-Style India Pale Ale,6.0,55.0,8
3361,Dogfish Head Craft Brewery,Noble Rot,Specialty Beer,9.0,18.0,5
3362,Portland Brewing,Noble Scot,Scottish-Style Light Ale,6.5,25.0,22
3363,Borderlands Brewing Company,Noche Dulce,Brown Porter,7.3,15.5,41
3364,NoDa Brewing Company,NoDajito,Belgian-Style White (or Wit) / Belgian-Style Wheat,4.8,18.0,5
3365,NoDa Brewing Company,NoDaRyeZ'd,American-Style India Pale Ale,8.65,90.0,12
3366,Unibroue,Noire de Chambly,Other Belgian-Style Ales,6.2,21.0,40
3367,Microbrasserie Le Prospecteur,Noire du Prospecteur,Oatmeal Stout,4.3,32.0,36
3368,Base Camp Brewing Company,Nomadic Blood Orange Double IPA,Brett Beer,9.0,70.0,8
3369,Good Nature Farm Brewery,Non-Stop Hop Onslaught,Session Beer,4.0,35.0,4
3370,Sierra Nevada Brewing Company,Nooner Pilsner,American-Style Pilsener,5.2,38.0,1
3371,Moon Dog,Nordic Saddle Buffer,British-Style Barley Wine Ale,14.0,46.0,16
3372,Heights Brewing Company,North Bank IPA,American-Style India Pale Ale,6.7,40.0,10
3373,Saucony Creek Brewing Company,North Ramp Coffee Stout,Coffee-Flavored Beer,5.2,37.0,35
3374,Zero Gravity Craft Brewery,Northdown,Classic English-Style Pale Ale,4.1,25.0,10
3375,Odin Brewing Company,Northern Darkness Baltic Porter,Baltic-Style Porter,7.2,20.0,32
3376,Cogstone Brewing Company,Northern German Altbier,German-Style Altbier,5.1,32.0,17
3377,Starr Hill Brewery,Northern Lights,American-Style India Pale Ale,6.5,52.0,11
3378,Cinder Block Brewery,Northtown Native,California Common Beer,4.8,12.0,5
3379,Stoup Brewing,Northwest IPA,American-Style India Pale Ale,7.5,60.0,7
3380,Flat Earth Brewing Company,Northwest Passage IPA,American-Style India Pale Ale,6.5,115.0,12
3381,Mill House Brewing Company,Northwest Territory,Imperial or Double India Pale Ale,9.3,91.0,6
3382,Two Brothers Brewing Company,Northwind Imperial Stout,American-Style Stout,9.1,45.0,37
3383,Banded Horn Brewing Company,Norweald Stout,American-Style Stout,6.5,49.0,29
3384,Pollyanna Brewing Company,NOSE OVER TAIL,German-Style Heller Bock/Maibock,7.0,28.0,7
3385,Great Lakes Brewing Company,Nosferatu,Imperial Red Ale,8.0,70.0,23
3386,CooperSmith's Pub & Brewing,Not Brown,English-Style Brown Ale,5.4,18.0,19
3387,Tomfoolery Brewing Company,Not So Old Bohemian Pilsner,Bohemian-Style Pilsener,5.0,27.0,3
3388,Smartmouth Brewing Company,Notch 9,Imperial or Double India Pale Ale,9.1,105.0,6
3389,Nowhere In Particular Brewing Company,Notes From The Underground,American-Style Imperial Stout,9.2,58.0,41
3390,Eight Bridges Brewing,Nottingham Brown Ale,American-Style Brown Ale,5.1,25.0,21
3391,Foothills Brewing Company,"November IPA of the Month - ""NovAmber"" (2014)",American-Style India Pale Ale,6.9,64.0,5
3392,Front Range Brewing Company,Novemberfest,German-Style Märzen,6.1,22.0,9
3393,Tröegs Brewing Company,Nugget Nectar,American-Style Amber/Red Ale,7.5,93.0,14
3394,Green Flash Brewing Company,Nugget Single Hop Pale Ale,American-Style Pale Ale,5.5,40.0,9
3395,AleSmith Brewing Company,Nut Brown,English-Style Brown Ale,5.0,17.0,25
3396,The ChopHouse & Brewery,Nut Brown Ale,English-Style Brown Ale,5.4,18.0,28
3397,Blackstone Brewing Company,Nut Brown Ale,English-Style Brown Ale,5.6,23.0,22
3398,Mt. Carmel Brewing Company,Nut Brown Ale,American-Style Brown Ale,6.0,38.0,18
3399,Blind Squirrel,Nut Brown Ale,American-Style Brown Ale,5.7,40.0,21
3400,Fortnight Brewing Company,Nut Brown Ale,English-Style Brown Ale,4.5,33.0,17
3401,Sick N Twisted Brewing Co.,Nut Hugger,American-Style Brown Ale,5.5,14.26,20
3402,Upland Brewing Company,Nut Hugger Brown Ale,American-Style Brown Ale,6.2,41.4,22
3403,Engine 15 Brewing Company,Nut Sack Double Brown Ale,American-Style Brown Ale,7.1,26.0,22
3404,Grand Armory Brewing,Nutter Your Business Stout,American-Style Stout,5.0,25.0,30
3405,Nøgne Ø,Nøgne Porter,Brown Porter,7.0,30.0,40
3406,Nøgne Ø,Nøgne Ø Dark Horizon,American-Style Imperial Stout,16.0,100.0,40
3407,Waverly Brewing Co.,O'Bay,American-Style Pale Ale,6.1,45.0,7
3408,O'Fallon Brewery,O'Fallon Gold,Golden or Blonde Ale,5.0,10.0,5
3409,O'Fallon Brewery,O'Fallon Wheach,Light American Wheat Ale or Lager with Yeast,5.1,7.0,3
3410,Christian Moerlein Brewing Company,O.T.R.,American-Style Amber/Red Ale,6.0,40.0,6
3411,Deep Ellum Brewing Company,Oak Cliff Coffee Ale,Coffee-Flavored Beer,7.5,33.0,27
3412,Oak Creek Brewing Co.,Oak Creek Hefeweizen,South German-Style Hefeweizen / Hefeweissbier,5.0,14.0,10
3413,Uinta Brewing Company,Oak Jacked Imperial Pumpkin,Wood- and Barrel-Aged Beer,10.31,39.0,21
3414,Dogfish Head Craft Brewery,Oak-aged Noble Rot,Wood- and Barrel-Aged Beer,9.0,18.0,5
3415,Terrapin Beer Company,Oaked Big Hoppy Monster,American-Style Amber/Red Ale,10.6,73.0,10
3416,Firestone Walker Brewing Company,Oaktoberfest,German-Style Märzen,5.0,24.0,12
3417,Station 26 Brewing Co.,Oat Brown Porter,Brown Porter,5.4,22.0,22
3418,Cedar Creek Brewery,Oat N’ Aboat,Oatmeal Stout,5.1,30.0,36
3419,Ancestry Brewing,Oat Stout,Oatmeal Stout,7.6,45.0,41
3420,Byway Brewing,Oat Street,Brown Porter,5.5,30.0,35
3421,Ninkasi Brewing Company,Oatis Oatmeal Stout,Oatmeal Stout,7.0,50.0,40
3422,Seven Brides Brewery,Oatmeal Ellie,Coffee-Flavored Beer,4.5,30.0,33
3423,High Cotton Brewing Co,Oatmeal IPA,American-Style India Pale Ale,5.5,52.6,10
3424,Ranger Creek Brewing & Distilling,Oatmeal Pale Ale,American-Style Strong Pale Ale,5.8,33.0,14
3425,Bacchus Brewing Company,Oatmeal Stout,Oatmeal Stout,5.8,34.0,40
3426,Blue Stallion Brewing Company,Oatmeal Stout,Oatmeal Stout,5.5,32.0,32
3427,Rivertown Brewing Company,Oatmeal Stout,Oatmeal Stout,4.2,35.0,40
3428,Bluebonnet Beer Company,Oatmeal Stout,Oatmeal Stout,6.2,35.0,40
3429,The Saint Louis Brewery (Schlafly),Oatmeal Stout,Oatmeal Stout,5.7,40.0,41
3430,Cogstone Brewing Company,Oatmeal Stout,Oatmeal Stout,5.1,30.0,35
3431,Buckeye Lake Brewery,Oatmeal Stout,Oatmeal Stout,5.6,27.0,35
3432,Summit Brewing Company,Oatmeal Stout,Oatmeal Stout,5.2,41.0,40
3433,Free State Brewing Company,Oatmeal Stout,Oatmeal Stout,6.1,42.0,38
3434,Worth Brewing Company,Oatmeal Stout,Oatmeal Stout,5.7,40.0,36
3435,Brewer's Alley Restaurant & Brewery,Oatmeal Stout,Oatmeal Stout,6.7,18.4,40
3436,Brew Age,Oatmeal Stout · Chicxulub,Oatmeal Stout,5.4,40.0,41
3437,Big Storm Brewing Co.,Oats In Hose,Oatmeal Stout,6.5,17.0,40
3438,Werk Force Brewing Co.,Oats Made Me Do It!,American-Style Pale Ale,6.4,41.4,6
3439,Brewery Rickoli,Oats McGoats,Oatmeal Stout,6.5,35.0,38
3440,Pleasure House Brewing,OB's Wattleseed Stout,Foreign (Export)-Style Stout,9.1,36.0,32
3441,Cognition Brewing Company,Oblivion,Sweet or Cream Stout,5.0,29.0,41
3442,Deschutes Brewery,Obsidian Stout,American-Style Stout,6.4,55.0,41
3443,Weeping Radish Farm Brewery,OBX Beer,German-Style Kölsch / Köln-Style Kölsch,5.0,21.0,5
3444,Waverly Brewing Co.,Ocean Man,American-Style India Pale Ale,6.8,79.0,9
3445,Valiant Brewing,Octave,Belgian-Style Pale Ale,6.4,37.0,18
3446,Foothills Brewing Company,"October IPA of the Month - ""BrewHilda"" (2014)",American-Style India Pale Ale,6.8,93.0,7
3447,Abita Brewing Company,Octoberfest,German-Style Märzen,5.4,20.0,15
3448,Pollyanna Brewing Company,OCULAR,Imperial or Double India Pale Ale,8.9,100.0,6
3449,Magic Hat Brewing Company,Odd Notion Fall,Belgian-Style White (or Wit) / Belgian-Style Wheat,4.5,10.0,6
3450,Magic Hat Brewing Company,Odd Notion Spring (2010),Light American Wheat Ale or Lager with Yeast,6.0,35.0,6
3451,Magic Hat Brewing Company,Odd Notion Summer (2010),Other Belgian-Style Ales,5.5,15.0,5
3452,Wild Heaven Beer,Ode To Mercy,Specialty Beer,8.2,40.0,20
3453,Four Peaks Brewing Company,Odelay,American-Style Brown Ale,6.3,20.0,30
3454,Barren Hill Tavern & Brewery,Odinator,German-Style Doppelbock,8.75,28.0,30
3455,Bierbrouwerij Emelisse,Oerpils,German-Style Pilsener,5.0,18.0,5
3456,Pinellas Ale Works,Off the Leash,American-Style India Pale Ale,7.0,72.0,8
3457,Karl Strauss Brewing Company,Off The Rails,Imperial Red Ale,8.5,40.0,32
3458,Nowhere In Particular Brewing Company,Off With Their Thumbs,British-Style Barley Wine Ale,11.2,33.0,26
3459,Fortnight Brewing Company,Offbeat Wheat,Light American Wheat Ale or Lager without Yeast,5.1,18.0,4
3460,Frankenmuth Brewery,Oh My Quad!,Belgian-Style Quadrupel,11.0,35.0,23
3461,Great Lakes Brewing Company,Ohio City Oatmeal Stout,Oatmeal Stout,5.4,25.0,40
3462,Surf Brewery,Oil Piers Porter Nitro,Robust Porter,5.3,30.0,35
3463,Working Class Brewery,Oil Rigger Chocolate Stout,American-Style Stout,6.0,30.0,41
3464,Cheluna Brewing,Ojo Rojo Imperial IPA,Imperial or Double India Pale Ale,10.2,50.0,15
3465,Rivertown Brewing Company,Ojos Negros,Fruit Beer,6.3,6.0,8
3466,Last Name Brewing,Oktober-Fiesta,American-Style Amber Lager,5.5,25.0,15
3467,Real Ale Brewing Company,Oktoberfest,American-Style Märzen / Oktoberfest,5.7,22.0,19
3468,Seguin Brewing Co.,Oktoberfest,American-Style Märzen / Oktoberfest,6.3,32.0,13
3469,Yankee Tank Brewing Company,Oktoberfest,German-Style Märzen,5.3,25.0,9
3470,Blue Stallion Brewing Company,Oktoberfest,German-Style Oktoberfest / Wiesen (Meadow),5.4,24.0,11
3471,Rohrbach Brewing Company,Oktoberfest,American-Style Märzen / Oktoberfest,5.9,17.0,20
3472,Hall Brewing Company,Oktoberfest,American-Style Märzen / Oktoberfest,5.2,18.0,13
3473,Karl Strauss Brewing Company,Oktoberfest,German-Style Märzen,5.0,20.0,15
3474,College Street Brewhouse & Pub,Oktoberfest,German-Style Märzen,5.3,19.9,9
3475,Bluebonnet Beer Company,Oktoberfest,German-Style Oktoberfest / Wiesen (Meadow),5.1,25.0,10
3476,Lift Bridge Brewing Co.,Oktoberfest,American-Style Märzen / Oktoberfest,5.5,23.0,13
3477,Maui Brewing Co.,Oktoberfest,German-Style Märzen,5.0,22.0,9
3478,Foothills Brewing Company,Oktoberfest,German-Style Märzen,5.8,42.0,30
3479,The Saint Louis Brewery (Schlafly),Oktoberfest,German-Style Märzen,5.1,25.0,20
3480,DESTIHL Brewery,Oktoberfest,German-Style Oktoberfest / Wiesen (Meadow),5.8,25.0,10
3481,Herkimer Pub & Brewery,Oktoberfest,American-Style Märzen / Oktoberfest,6.0,26.0,12
3482,Lager Heads Brewing Company,Oktoberfest,American-Style Märzen / Oktoberfest,6.1,28.0,12
3483,Tighthead Brewing Company,Oktoberfest,American-Style Märzen / Oktoberfest,5.5,27.0,12
3484,Sand Creek Brewing Company,Oktoberfest,American-Style Märzen / Oktoberfest,4.8,17.0,10
3485,Left Hand Brewing Company,Oktoberfest,German-Style Märzen,6.6,24.0,21
3486,C.H. Evans Brewing Company,Oktoberfest,German-Style Märzen,5.7,27.0,11
3487,Goliad Brewing Company,Oktoberfest,American-Style Märzen / Oktoberfest,5.8,18.0,8
3488,Summit Brewing Company,Oktoberfest,German-Style Märzen,7.3,29.0,15
3489,Fort Collins Brewery,Oktoberfest,German-Style Oktoberfest / Wiesen (Meadow),6.0,24.0,7
3490,Excel Brewing Company,Oktoberfest,German-Style Märzen,5.5,20.0,12
3491,Great Lakes Brewing Company,Oktoberfest,German-Style Märzen,6.5,20.0,17
3492,"Berghoff Brewery, Inc",Oktoberfest,American-Style Märzen / Oktoberfest,5.6,22.0,12
3493,Upland Brewing Company,Oktoberfest Lager,German-Style Märzen,6.5,16.5,7
3494,Anaheim Brewery,Oktoberfest Lager,German-Style Märzen,6.6,22.0,10
3495,Feather Falls Casino Brewing Co,Oktoberfest Märzen,German-Style Märzen,5.0,23.0,25
3496,Periodic Brewing,Oktoberfest Marzen,German-Style Märzen,6.2,20.0,12
3497,The ChopHouse & Brewery,Oktoberfest: Wet Sunbeam Hops,Vienna-Style Lager,6.5,23.0,15
3498,Braxton Brewing Company,Oktoberfuel,German-Style Oktoberfest / Wiesen (Meadow),6.0,20.0,12
3499,Core Brewing & Distilling Co.,Ol' Grumpy Barley Wine,American-Style Barley Wine Ale,10.0,57.0,16
3500,Harviestoun Brewery,Ola Dubh 12 Year Special Reserve,Old Ale,8.0,40.0,40
3501,Bear Republic Brewing Company,Old Baba Yaga,American-Style Imperial Stout,11.5,115.0,41
3502,Engine 15 Brewing Company,Old Battle Axe IPA,American-Style India Pale Ale,6.4,62.0,11
3503,Roundhouse Brewery,Old Betsy Brown Ale,English-Style Brown Ale,4.8,26.0,23
3504,Smuttynose Brewing Company,Old Brown Dog Ale,American-Style Brown Ale,6.7,15.0,33
3505,Keegan Ales,Old Capital,Golden or Blonde Ale,4.0,11.0,4
3506,Oskar Blues Brewery,Old Chub,Scotch Ale,8.0,25.0,38
3507,Solemn Oath Brewery,Old Faithorn,American-Style Pale Ale,5.5,50.0,3
3508,Natty Greene's Brewing Co.,Old Fort,American-Style Black Ale,6.8,66.0,41
3509,Indeed Brewing Company,Old Friend Holiday Ale,Specialty Honey Lager or Ale,7.5,16.0,21
3510,Old Bust Head Brewing Co.,Old Jail,Pumpkin Beer,5.8,32.0,6
3511,Avery Brewing Company,Old Jubilation Ale,Strong Ale,8.3,45.0,23
3512,Tighthead Brewing Company,Old Kaya Dog,American-Style Barley Wine Ale,9.7,113.0,11
3513,Sixpoint Brewery,Old Krusher,Strong Ale,10.6,108.0,19
3514,Second Salem Brewing Company,Old Main Golden Ale,Golden or Blonde Ale,4.4,9.0,4
3515,Star City Brewing Company,Old Mill Stout,Oatmeal Stout,5.8,28.0,41
3516,North Coast Brewing Company,Old No.38 Stout,Classic Irish-Style Dry Stout,5.5,53.0,41
3517,AleSmith Brewing Company,Old Numbskull,American-Style Barley Wine Ale,11.0,96.0,11
3518,Mystic Brewery,Old Powderhouse,American-Style Wheat Wine Ale,6.5,21.0,17
3519,The Bakers' Brewery,Old School IPA,American-Style Pale Ale,6.25,67.0,6
3520,Crazy Mountain Brewing,Old Soul Belgian Style Ale,Belgian-Style Pale Ale,7.5,32.0,7
3521,Rivertown Brewing Company,Old Sour Cherry Porter,American-Style Sour Ale,9.0,31.0,38
3522,North Coast Brewing Company,Old Stock Ale (2014),Old Ale,11.8,34.0,25
3523,Lolo Peak Brewing Company,Old Toby Porter,Robust Porter,5.6,26.0,41
3524,Piney River Brewing Company,Old Tom Porter,Brown Porter,5.5,40.0,22
3525,Natty Greene's Brewing Co.,Old Town Brown,American-Style Brown Ale,4.7,10.0,41
3526,NoDa Brewing Company,Old Voyage,British-Style Barley Wine Ale,9.6,30.0,20
3527,Beer Hound Brewery,Olde Yella,American-Style Pale Ale,6.1,38.0,8
3528,Fort Collins Brewery,"Oldwyn, Olde English Ale",Old Ale,7.5,25.0,27
3529,Meadowlark Brewing,Ole Gus,Rye Ale or Lager with or without Yeast,7.0,18.0,22
3530,Olvi,Olvi Doppelbock,German-Style Doppelbock,8.5,23.0,18
3531,Olvi,Olvi Export IV,Classic English-Style Pale Ale,5.2,18.0,8
3532,The Olde Mecklenburg Brewery,OMB Copper,German-Style Altbier,4.8,31.0,12
3533,Rapp Brewing Company,OMG,American-Style Barley Wine Ale,20.0,48.0,16
3534,Four Saints Brewing Company,Omie,Golden or Blonde Ale,4.1,21.5,4
