,Brewery,Beer Name,Style,ABV,IBU,SRM
127,Rogue Ales,7 Hop,American-Style India Pale Ale,7.77,90.0,17
128,The Bruery,7 Swans-A-Swimming (2014),Belgian-Style Quadrupel,11.0,15.0,20
129,11 Below Brewing,7-Iron,Session Beer,4.5,13.0,5
130,First Magnitude Brewing Company,72,American-Style Pale Ale,5.6,38.0,7
131,Elevation Beer Company,8 Second Kölsch,German-Style Kölsch / Köln-Style Kölsch,5.0,15.0,2
132,Barley Island Brewing Company,80 Shilling Scotch Ale,Scottish-Style Export Ale,5.7,16.0,12
133,Boulevard Brewing Company,80-Acre Hoppy Wheat Beer,Light American Wheat Ale or Lager without Yeast,5.5,20.0,8
134,Uinta Brewing Company,801 Small Batch Pilsner,German-Style Pilsener,4.0,22.0,4
135,Firestone Walker Brewing Company,805,Golden or Blonde Ale,4.7,20.0,7
136,Joseph James Brewing Co. Inc.,8th Anniversary Ale,Wood- and Barrel-Aged Strong Beer,9.7,25.0,30
137,Four Peaks Brewing Company,8th Street Ale,Special Bitter or Best Bitter,4.7,21.0,10
138,Seguin Brewing Co.,9-Pin Kolsch,German-Style Kölsch / Köln-Style Kölsch,6.8,24.0,7
139,Dogfish Head Craft Brewery,90 Minute IPA,Imperial or Double India Pale Ale,9.0,90.0,9
140,Aviator Brewing Company,919 Pale Ale,American-Style Pale Ale,7.2,60.0,6
141,Riff Raff Brewing,99 Shilling,Scotch Ale,6.2,31.0,18
142,Lovelady Brewing Company,9th Island Pineapple Sour,American-Style Sour Ale,5.0,7.0,4
143,Independent Brewing Company,A Bitter Pils to Swallow,Bohemian-Style Pilsener,5.1,45.0,3
144,OMNI Brewing Co.,A Little Hoppy,Session India Pale Ale,4.6,65.0,6
145,Hops & Grain Brewery,A Pale Mosaic,English-Style Pale Mild Ale,5.93,60.0,6
146,The Bruery,A Partridge in a Pear Tree (2008),Belgian-Style Dark Strong Ale,11.0,20.0,20
147,Red Brick Brewing Company,A-Town Brown,American-Style Brown Ale,6.5,16.0,18
148,Palmetto Brewing Company,A.M. Wood,Wood- and Barrel-Aged Pale to Amber Beer,6.0,55.0,6
149,Blackstone Brewing Company,A.P.A,American-Style Pale Ale,5.3,33.0,11
150,Herkimer Pub & Brewery,A57N ALT Bier,German-Style Altbier,5.0,44.0,10
151,Herkimer Pub & Brewery,A57S Kölsch,German-Style Kölsch / Köln-Style Kölsch,5.5,20.0,4
152,Abita Brewing Company,Abbey Ale,Belgian-Style Dubbel,8.0,20.0,31
153,Brewery Ommegang,Abbey Ale,Belgian-Style Dubbel,8.2,20.0,38
154,Blackberry Farm Brewery,Abbey Blonde,Belgian-Style Blonde Ale,6.1,40.0,5
155,Blackberry Farm Brewery,Abbey Brune,Other Belgian-Style Ales,6.3,15.0,15
156,Iron Hill Brewery,Abbey Dubbel,Belgian-Style Dubbel,6.9,25.0,18
157,Odin Brewing Company,Abbey Single Belgian Table Beer,Belgian-Style Table Beer,5.0,20.0,3
158,Barrel of Monks Brewing,Abbey Terno,Belgian-Style Dubbel,7.5,24.0,17
159,DESTIHL Brewery,Abbey's Single,Belgian-Style Table Beer,4.8,22.0,3
160,Double Barley Brewing,Abby's Amber Ale,American-Style Amber/Red Ale,6.0,31.7,11
161,Sixpoint Brewery,Abigale,Other Belgian-Style Ales,8.0,52.0,14
162,Seven Brides Brewery,Abiqua Black,American-Style Black Ale,6.5,70.0,36
163,Abita Brewing Company,Abita Light,American-Style Light (Low Calorie) Lager,4.0,10.0,3
164,"Four Fathers Brewing, LLC",Abolition,Robust Porter,5.8,44.0,41
165,Surly Brewing Company,Abrasive Ale,Imperial or Double India Pale Ale,9.2,120.0,8
166,Bomber Brewing,Absolute Horizon CDA,American-Style Dark Lager,6.5,72.0,26
167,Brouwerij St. Bernardus,Abt 12,Belgian-Style Quadrupel,10.0,22.0,37
168,Heater Allen Brewery,Abzug,Vienna-Style Lager,3.75,26.0,7
169,Pollyanna Brewing Company,ACCLAMATION,Belgian-Style Pale Strong Ale,7.7,25.0,6
170,Base Camp Brewing Company,Acclimator Doppelbock,German-Style Doppelbock,7.6,30.0,20
171,New Belgium Brewing,Accumulation,American-Style India Pale Ale,6.2,70.0,10
172,Walter's Beer,Ace In The Hole IPA,American-Style India Pale Ale,7.2,58.7,13
173,Wingman Brewers,Ace IPA,American-Style India Pale Ale,7.4,83.0,13
174,Martin House Brewing Company,Acheron,American-Style Imperial Stout,12.0,57.0,41
175,Acopon Brewing Company,Acopon Mild,English-Style Dark Mild Ale,3.8,21.0,25
176,Acopon Brewing Company,Acopon Oatmeal Stout,Oatmeal Stout,4.5,39.0,39
177,Lone Tree Brewing Company,Acres O' Green Irish Red,Irish-Style Red Ale,6.0,32.0,41
178,Mystery Brewing Company,Adamanthea: Adelaide Sparkling Ale,Ordinary Bitter,4.2,30.0,8
179,DESTIHL Brewery,Adambier,American-Style Sour Ale,9.0,40.0,28
180,Eagle Creek Brewing Company,Adaptation IPA,American-Style India Pale Ale,6.4,58.0,6
181,Legal Remedy Brewing Co.,Addendum French Toast Ale,Herb and Spice Beer,6.3,27.8,19
182,Surf Brewery,Aerial IPA,American-Style India Pale Ale,6.5,65.0,8
183,Fär Göhn Brewing Company,Aesel Kolsch,German-Style Kölsch / Köln-Style Kölsch,4.7,28.0,4
184,Slanted Rock Brewing Company,After Midnight Imperial Stout,American-Style Imperial Stout,8.2,60.0,41
185,Lab Brewing @ Twisted Oak Tavern,After Midnight Moo,Sweet or Cream Stout,5.4,28.0,38
186,Kinetic Brewing Company,Afterburner,Imperial or Double India Pale Ale,11.6,100.0,6
187,Keuka Brewing Company,AfterBurner Habanero Ale,Specialty Beer,4.2,22.5,4
188,BricktownE Brewing Company,Agate Lake Pale Ale,American-Style Pale Ale,5.8,40.0,8
189,Nighthawk Brewery,Agavarillo Wheat,Dark American Wheat Ale or Lager without Yeast,4.8,24.0,5
190,Ironworks Brewery and Pub,Agave Wheat,English-Style Summer Ale,4.6,21.0,4
191,Silver Moon Brewing,Ahh...Freak Oat!,American-Style Pale Ale,5.2,35.0,8
192,Airdale Brewing Company,Airdale Afterburner,American-Style Amber/Red Ale,5.3,34.0,18
193,Airdale Brewing Company,Airdale Altitude,American-Style Pale Ale,6.1,47.0,8
194,Airdale Brewing Company,Airdale Bombshell,Belgian-Style Pale Strong Ale,8.3,28.0,5
195,Airdale Brewing Company,Airdale Dark & Stormy,American-Style Imperial Stout,9.5,50.0,41
196,Airdale Brewing Company,Airdale Homecoming,Herb and Spice Beer,5.5,25.0,35
197,Airdale Brewing Company,Airdale Horizon,South German-Style Hefeweizen / Hefeweissbier,4.9,12.0,5
198,Ironworks Brewery and Pub,Alameda Amber,American-Style Amber Lager,5.3,24.0,14
